electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district
ED 50,99.00%,365,181,10,15,8,AD   81
ED 51,99.00%,430,127,12,25,10,AD   81
ED 52,99.00%,449,72,10,11,1,AD   81
ED 53,99.00%,447,238,20,44,16,AD   81
ED 54,99.00%,621,253,21,60,12,AD   81
ED 55,99.00%,148,55,7,10,4,AD   81
ED 56,99.00%,330,124,14,37,22,AD   81
ED 57,99.00%,412,75,2,12,9,AD   81
ED 58,99.00%,409,103,8,18,2,AD   81
ED 59,99.00%,378,79,1,6,3,AD   81
ED 60,80.00%,0,0,0,0,0,AD   81
ED 61,99.00%,0,0,0,0,0,AD   81
ED 62,99.00%,0,0,0,0,0,AD   81
ED 63,99.00%,1,0,0,0,0,AD   81
ED 1,99.00%,295,557,50,19,8,AD   82
ED 2,99.00%,110,223,21,4,2,AD   82
ED 3,99.00%,345,326,32,10,10,AD   82
ED 4,99.00%,338,335,23,17,4,AD   82
ED 5,99.00%,240,287,26,15,6,AD   82
ED 6,99.00%,220,511,21,13,3,AD   82
ED 7,99.00%,323,261,31,12,7,AD   82
ED 8,99.00%,277,325,24,17,13,AD   82
ED 9,99.00%,390,292,26,19,4,AD   82
ED 10,99.00%,490,301,27,25,3,AD   82
ED 11,99.00%,377,239,21,17,7,AD   82
ED 12,99.00%,282,59,10,12,3,AD   82
ED 13,99.00%,268,68,6,10,2,AD   82
ED 14,99.00%,295,57,10,8,0,AD   82
ED 15,99.00%,374,286,37,33,14,AD   82
ED 16,99.00%,397,288,28,14,13,AD   82
ED 17,99.00%,41,21,2,1,0,AD   82
ED 18,99.00%,303,425,42,20,8,AD   82
ED 19,99.00%,301,480,32,17,7,AD   82
ED 20,99.00%,329,600,48,17,4,AD   82
ED 21,99.00%,217,427,38,8,8,AD   82
ED 22,99.00%,177,325,22,8,4,AD   82
ED 23,99.00%,198,297,27,10,4,AD   82
ED 24,99.00%,182,255,13,16,4,AD   82
ED 25,99.00%,491,259,24,27,10,AD   82
ED 26,99.00%,299,217,24,23,9,AD   82
ED 27,99.00%,273,255,18,23,11,AD   82
ED 28,99.00%,510,325,25,27,9,AD   82
ED 29,99.00%,435,253,34,34,8,AD   82
ED 30,85.71%,361,197,26,22,8,AD   82
ED 31,85.71%,274,239,20,26,14,AD   82
ED 32,85.71%,351,347,24,37,9,AD   82
ED 33,99.00%,326,312,16,22,10,AD   82
ED 34,99.00%,282,169,19,18,6,AD   82
ED 35,99.00%,141,83,7,7,4,AD   82
ED 36,99.00%,351,208,15,15,23,AD   82
ED 37,99.00%,13,2,0,2,0,AD   82
ED 38,99.00%,400,328,28,23,19,AD   82
ED 39,99.00%,309,242,23,25,9,AD   82
ED 40,99.00%,335,166,11,24,20,AD   82
ED 41,99.00%,508,433,33,45,11,AD   82
ED 42,99.00%,484,455,30,47,14,AD   82
ED 43,99.00%,208,236,13,15,4,AD   82
ED 44,85.71%,223,189,18,13,7,AD   82
ED 45,99.00%,4,2,0,0,0,AD   82
ED 46,99.00%,678,92,16,27,4,AD   82
ED 47,99.00%,564,76,7,14,6,AD   82
ED 48,99.00%,801,100,11,29,10,AD   82
ED 49,99.00%,692,92,6,18,2,AD   82
ED 50,99.00%,593,64,5,17,6,AD   82
ED 51,99.00%,607,45,10,18,2,AD   82
ED 52,99.00%,1,2,0,0,0,AD   82
ED 53,99.00%,109,94,7,8,2,AD   82
ED 54,99.00%,842,98,8,34,5,AD   82
ED 55,99.00%,747,135,18,29,6,AD   82
ED 56,99.00%,672,90,10,18,1,AD   82
ED 57,99.00%,798,124,4,28,8,AD   82
ED 58,99.00%,824,79,13,24,3,AD   82
ED 59,99.00%,822,106,12,22,6,AD   82
ED 60,99.00%,740,109,7,21,10,AD   82
ED 61,99.00%,783,89,10,31,4,AD   82
ED 62,99.00%,680,73,16,16,7,AD   82
ED 63,99.00%,804,113,15,20,13,AD   82
ED 64,99.00%,821,122,14,19,3,AD   82
ED 65,99.00%,713,106,7,19,2,AD   82
ED 66,99.00%,514,96,9,18,6,AD   82
ED 67,99.00%,0,0,0,0,0,AD   82
ED 68,99.00%,0,0,0,0,0,AD   82
ED 69,99.00%,0,0,0,0,0,AD   82
ED 70,99.00%,0,0,0,0,0,AD   82
ED 71,99.00%,0,0,0,0,0,AD   82
ED 72,99.00%,0,0,0,0,0,AD   82
ED 73,99.00%,0,0,0,0,0,AD   82
ED 74,99.00%,0,0,0,0,0,AD   82
ED 75,99.00%,0,0,0,0,0,AD   82
ED 76,99.00%,0,0,0,0,0,AD   82
ED 77,99.00%,0,0,0,0,0,AD   82
ED 78,99.00%,0,0,0,0,0,AD   82
ED 79,99.00%,0,0,0,0,0,AD   82
ED 1,88.89%,632,87,9,5,1,AD   83
ED 2,88.89%,620,66,14,20,8,AD   83
ED 3,88.89%,582,96,17,17,5,AD   83
ED 4,88.89%,496,52,6,16,2,AD   83
ED 5,88.89%,527,49,11,9,3,AD   83
ED 6,99.00%,714,69,11,17,6,AD   83
ED 7,99.00%,732,73,13,16,2,AD   83
ED 8,99.00%,458,71,6,7,11,AD   83
ED 9,99.00%,416,72,3,9,1,AD   83
ED 10,99.00%,474,79,4,12,3,AD   83
ED 11,99.00%,653,89,8,16,4,AD   83
ED 12,99.00%,439,75,4,9,6,AD   83
ED 13,99.00%,392,71,8,20,11,AD   83
ED 14,99.00%,397,85,4,16,4,AD   83
ED 15,99.00%,547,95,7,16,8,AD   83
ED 16,99.00%,570,61,6,16,4,AD   83
ED 17,99.00%,545,79,3,14,6,AD   83
ED 18,99.00%,376,64,5,11,5,AD   83
ED 19,99.00%,492,85,7,23,1,AD   83
ED 20,99.00%,623,80,13,16,11,AD   83
ED 21,99.00%,682,52,3,16,7,AD   83
ED 22,99.00%,702,79,7,15,3,AD   83
ED 23,99.00%,801,78,7,17,9,AD   83
ED 24,99.00%,514,60,5,13,3,AD   83
ED 25,99.00%,709,57,12,15,7,AD   83
ED 26,99.00%,578,74,9,17,3,AD   83
ED 27,99.00%,396,77,14,8,2,AD   83
ED 28,99.00%,421,54,3,10,1,AD   83
ED 29,99.00%,356,48,7,7,3,AD   83
ED 30,99.00%,482,113,4,17,7,AD   83
ED 31,99.00%,494,96,8,19,3,AD   83
ED 32,99.00%,628,81,6,16,3,AD   83
ED 33,99.00%,609,69,3,18,4,AD   83
ED 34,99.00%,537,81,5,13,6,AD   83
ED 35,99.00%,588,83,14,13,3,AD   83
ED 36,99.00%,399,44,2,13,2,AD   83
ED 37,99.00%,379,28,1,14,5,AD   83
ED 38,99.00%,381,75,7,12,4,AD   83
ED 39,99.00%,487,59,5,10,2,AD   83
ED 40,99.00%,255,42,4,7,2,AD   83
ED 41,88.89%,740,53,3,18,4,AD   83
ED 42,99.00%,302,44,7,5,1,AD   83
ED 43,88.89%,468,54,8,15,5,AD   83
ED 44,88.89%,802,69,13,19,4,AD   83
ED 45,99.00%,417,33,5,8,4,AD   83
ED 46,99.00%,654,114,17,18,7,AD   83
ED 47,99.00%,602,70,8,10,4,AD   83
ED 48,99.00%,699,76,8,15,1,AD   83
ED 49,99.00%,319,51,6,10,2,AD   83
ED 50,99.00%,345,80,11,12,2,AD   83
ED 51,99.00%,258,55,9,14,3,AD   83
ED 52,99.00%,383,67,0,9,1,AD   83
ED 53,99.00%,395,27,5,13,0,AD   83
ED 54,99.00%,565,81,4,11,3,AD   83
ED 55,99.00%,0,0,0,0,0,AD   83
ED 56,99.00%,0,0,0,0,0,AD   83
ED 57,99.00%,0,0,0,0,0,AD   83
ED 58,99.00%,253,43,4,7,4,AD   83
ED 59,99.00%,71,4,0,1,0,AD   83
ED 60,99.00%,2,0,0,0,0,AD   83
ED 61,99.00%,201,30,5,3,0,AD   83
ED 62,99.00%,207,30,1,3,3,AD   83
ED 63,88.89%,274,16,2,6,0,AD   83
ED 64,88.89%,66,12,2,5,0,AD   83
ED 65,88.89%,59,14,1,3,0,AD   83
ED 66,99.00%,126,9,2,2,0,AD   83
ED 67,99.00%,101,8,1,2,0,AD   83
ED 1,99.00%,478,209,10,7,5,AD   84
ED 2,99.00%,146,62,4,7,1,AD   84
ED 3,99.00%,377,213,8,11,2,AD   84
ED 4,99.00%,432,203,12,15,12,AD   84
ED 5,99.00%,417,177,9,13,4,AD   84
ED 6,99.00%,420,215,10,13,7,AD   84
ED 7,99.00%,307,161,12,20,9,AD   84
ED 8,99.00%,477,171,9,14,6,AD   84
ED 9,99.00%,290,76,11,18,7,AD   84
ED 10,99.00%,400,156,12,20,2,AD   84
ED 11,99.00%,396,147,9,16,7,AD   84
ED 12,99.00%,345,132,8,34,14,AD   84
ED 13,99.00%,293,88,7,20,2,AD   84
ED 14,99.00%,298,76,3,22,10,AD   84
ED 15,83.33%,95,43,2,7,1,AD   84
ED 16,83.33%,149,25,4,12,9,AD   84
ED 17,99.00%,671,170,17,28,3,AD   84
ED 18,99.00%,406,150,13,10,5,AD   84
ED 19,99.00%,312,81,7,10,9,AD   84
ED 20,99.00%,420,122,7,16,2,AD   84
ED 21,99.00%,278,80,7,12,4,AD   84
ED 22,99.00%,401,123,17,14,4,AD   84
ED 23,99.00%,181,76,6,15,5,AD   84
ED 24,99.00%,198,89,6,13,6,AD   84
ED 25,99.00%,446,187,18,14,2,AD   84
ED 26,99.00%,298,106,5,15,2,AD   84
ED 27,99.00%,88,31,2,6,3,AD   84
ED 28,99.00%,470,180,13,13,2,AD   84
ED 29,99.00%,513,155,14,35,8,AD   84
ED 30,99.00%,339,112,14,9,6,AD   84
ED 31,99.00%,407,142,7,14,5,AD   84
ED 32,99.00%,369,127,4,9,5,AD   84
ED 33,99.00%,212,58,11,9,1,AD   84
ED 34,99.00%,409,132,15,22,2,AD   84
ED 35,99.00%,367,136,6,11,3,AD   84
ED 36,99.00%,391,98,8,21,3,AD   84
ED 37,99.00%,364,92,7,20,0,AD   84
ED 38,99.00%,305,147,16,21,2,AD   84
ED 39,99.00%,235,101,17,18,2,AD   84
ED 40,99.00%,220,75,3,10,6,AD   84
ED 41,99.00%,366,141,8,19,8,AD   84
ED 42,99.00%,331,83,6,8,6,AD   84
ED 43,99.00%,387,101,7,18,2,AD   84
ED 44,99.00%,301,85,5,17,0,AD   84
ED 45,99.00%,349,107,11,19,4,AD   84
ED 46,99.00%,351,104,10,12,3,AD   84
ED 47,99.00%,229,97,8,17,0,AD   84
ED 48,99.00%,395,94,11,29,8,AD   84
ED 49,99.00%,205,60,4,6,0,AD   84
ED 50,99.00%,245,105,4,11,2,AD   84
ED 51,99.00%,424,82,12,38,18,AD   84
ED 52,99.00%,62,18,4,4,0,AD   84
ED 53,99.00%,69,19,1,10,2,AD   84
ED 54,99.00%,160,51,4,11,2,AD   84
ED 55,99.00%,452,156,10,26,4,AD   84
ED 56,99.00%,152,54,4,10,6,AD   84
ED 57,99.00%,233,66,13,12,1,AD   84
ED 58,99.00%,345,139,8,11,2,AD   84
ED 59,99.00%,28,12,0,3,0,AD   84
ED 60,99.00%,50,28,0,3,0,AD   84
ED 61,99.00%,165,39,6,8,0,AD   84
ED 62,99.00%,0,0,0,0,0,AD   84
ED 63,83.33%,0,0,0,0,0,AD   84
ED 64,99.00%,123,46,3,7,1,AD   84
ED 65,99.00%,158,67,2,5,3,AD   84
ED 66,99.00%,142,32,5,19,3,AD   84
ED 67,99.00%,219,23,5,14,2,AD   84
ED 1,99.00%,747,177,22,47,9,AD   85
ED 2,83.33%,492,188,15,26,8,AD   85
ED 3,83.33%,367,179,7,12,7,AD   85
ED 4,99.00%,409,185,14,21,7,AD   85
ED 5,99.00%,588,179,8,25,13,AD   85
ED 6,99.00%,319,115,8,13,1,AD   85
ED 7,99.00%,288,96,3,3,5,AD   85
ED 8,83.33%,184,69,4,3,3,AD   85
ED 9,99.00%,453,193,22,18,13,AD   85
ED 10,99.00%,294,85,6,16,4,AD   85
ED 11,85.71%,354,97,8,6,2,AD   85
ED 12,85.71%,307,92,4,10,1,AD   85
ED 13,85.71%,379,112,9,14,7,AD   85
ED 14,99.00%,428,93,3,13,3,AD   85
ED 15,99.00%,731,105,9,26,4,AD   85
ED 16,99.00%,437,93,8,15,3,AD   85
ED 17,99.00%,360,112,12,14,4,AD   85
ED 18,99.00%,9,8,2,0,0,AD   85
ED 19,99.00%,379,123,6,14,11,AD   85
ED 20,99.00%,399,103,5,14,0,AD   85
ED 21,99.00%,485,141,11,19,21,AD   85
ED 22,99.00%,485,176,12,25,9,AD   85
ED 23,99.00%,240,91,5,10,2,AD   85
ED 24,99.00%,171,73,6,8,3,AD   85
ED 25,99.00%,370,94,7,12,2,AD   85
ED 26,99.00%,280,90,4,5,0,AD   85
ED 27,99.00%,216,73,5,9,3,AD   85
ED 28,99.00%,553,164,13,24,7,AD   85
ED 29,99.00%,431,165,11,23,2,AD   85
ED 30,83.33%,265,111,5,10,5,AD   85
ED 31,83.33%,329,103,5,14,0,AD   85
ED 32,83.33%,264,92,11,13,5,AD   85
ED 33,99.00%,221,71,7,15,1,AD   85
ED 34,99.00%,344,97,10,13,1,AD   85
ED 35,99.00%,423,162,8,11,4,AD   85
ED 36,99.00%,438,169,17,29,3,AD   85
ED 37,99.00%,320,112,7,11,1,AD   85
ED 38,99.00%,0,1,0,0,0,AD   85
ED 39,99.00%,489,174,12,20,1,AD   85
ED 40,99.00%,284,105,12,19,1,AD   85
ED 41,99.00%,455,177,6,13,3,AD   85
ED 42,99.00%,325,103,10,4,4,AD   85
ED 43,99.00%,389,123,12,22,14,AD   85
ED 44,99.00%,329,143,5,9,1,AD   85
ED 45,99.00%,297,144,12,10,5,AD   85
ED 46,99.00%,469,116,9,18,6,AD   85
ED 47,99.00%,181,85,6,7,0,AD   85
ED 48,99.00%,222,87,8,9,1,AD   85
ED 49,99.00%,214,113,11,9,2,AD   85
ED 50,99.00%,343,140,9,11,6,AD   85
ED 51,99.00%,868,55,11,26,5,AD   85
ED 52,99.00%,776,137,19,23,5,AD   85
ED 53,99.00%,513,52,7,11,4,AD   85
ED 54,99.00%,337,114,9,18,3,AD   85
ED 55,99.00%,0,0,0,0,0,AD   85
ED 56,99.00%,0,0,0,0,0,AD   85
ED 57,99.00%,0,0,0,0,0,AD   85
ED 58,99.00%,0,0,0,0,0,AD   85
ED 59,99.00%,0,0,0,0,0,AD   85
ED 60,99.00%,0,0,0,0,0,AD   85
ED 61,99.00%,0,0,0,0,0,AD   85
ED 62,99.00%,0,0,0,0,0,AD   85
ED 63,99.00%,0,0,0,0,0,AD   85
ED 64,99.00%,0,0,0,0,0,AD   85
ED 65,99.00%,0,0,0,0,0,AD   85
ED 66,99.00%,0,0,0,0,0,AD   85
ED 67,99.00%,0,0,0,0,0,AD   85
ED 68,99.00%,0,0,0,0,0,AD   85
ED 69,99.00%,0,0,0,0,0,AD   85
ED 70,99.00%,0,0,0,0,0,AD   85
ED 71,99.00%,0,0,0,0,0,AD   85
ED 72,99.00%,0,0,0,0,0,AD   85
ED 73,99.00%,0,0,0,0,0,AD   85
ED 74,99.00%,0,0,0,0,0,AD   85
ED 75,99.00%,0,0,0,0,0,AD   85
ED 76,99.00%,0,0,0,0,0,AD   85
ED 77,99.00%,0,0,0,0,0,AD   85
ED 78,99.00%,0,0,0,0,0,AD   85
ED 79,99.00%,0,0,0,0,0,AD   85
ED 80,99.00%,0,0,0,0,0,AD   85
ED 81,99.00%,0,0,0,0,0,AD   85
ED 82,99.00%,0,0,0,0,0,AD   85
ED 83,99.00%,0,0,0,0,0,AD   85
ED 84,99.00%,43,8,2,0,0,AD   85
ED 85,83.33%,12,9,0,0,0,AD   85
ED 86,83.33%,1,5,1,0,0,AD   85
ED 1,99.00%,338,151,7,8,2,AD   86
ED 2,99.00%,422,168,10,14,5,AD   86
ED 3,99.00%,46,17,0,3,2,AD   86
ED 4,99.00%,339,151,7,8,4,AD   86
ED 5,99.00%,324,184,11,11,2,AD   86
ED 6,99.00%,305,170,6,10,5,AD   86
ED 7,99.00%,445,207,10,7,7,AD   86
ED 8,99.00%,301,172,10,15,5,AD   86
ED 9,99.00%,486,230,16,15,2,AD   86
ED 10,85.71%,335,103,12,5,8,AD   86
ED 11,85.71%,278,131,10,9,3,AD   86
ED 12,99.00%,388,178,5,11,2,AD   86
ED 13,99.00%,363,256,13,13,7,AD   86
ED 14,99.00%,292,155,5,4,4,AD   86
ED 15,99.00%,266,100,6,3,4,AD   86
ED 16,99.00%,414,187,13,7,21,AD   86
ED 17,99.00%,287,105,3,10,1,AD   86
ED 18,99.00%,362,190,11,3,5,AD   86
ED 19,99.00%,307,162,9,16,2,AD   86
ED 20,99.00%,302,132,5,11,6,AD   86
ED 21,99.00%,323,186,11,3,2,AD   86
ED 22,99.00%,293,132,9,7,5,AD   86
ED 23,99.00%,296,127,6,14,8,AD   86
ED 24,99.00%,256,175,8,7,2,AD   86
ED 25,99.00%,222,183,8,6,2,AD   86
ED 26,90.00%,338,193,10,9,2,AD   86
ED 27,90.00%,261,134,5,11,2,AD   86
ED 28,90.00%,257,110,11,17,3,AD   86
ED 29,90.00%,248,123,7,12,4,AD   86
ED 30,99.00%,350,205,10,16,9,AD   86
ED 31,99.00%,408,134,11,16,4,AD   86
ED 32,99.00%,336,105,5,14,4,AD   86
ED 33,99.00%,426,216,17,4,2,AD   86
ED 34,99.00%,297,175,9,7,5,AD   86
ED 35,99.00%,184,54,2,7,0,AD   86
ED 36,99.00%,279,93,8,5,5,AD   86
ED 37,99.00%,378,129,7,15,5,AD   86
ED 38,99.00%,389,136,11,16,3,AD   86
ED 39,99.00%,209,86,10,9,1,AD   86
ED 40,99.00%,39,23,0,3,0,AD   86
ED 41,99.00%,368,147,10,12,5,AD   86
ED 42,99.00%,39,15,0,1,0,AD   86
ED 43,99.00%,375,144,7,11,5,AD   86
ED 44,99.00%,90,37,0,2,2,AD   86
ED 45,99.00%,62,42,1,3,0,AD   86
ED 46,99.00%,208,117,5,7,2,AD   86
ED 47,99.00%,316,137,6,6,1,AD   86
ED 48,99.00%,258,115,7,11,4,AD   86
ED 49,99.00%,433,134,11,12,3,AD   86
ED 50,99.00%,384,189,8,23,5,AD   86
ED 51,99.00%,336,187,7,6,5,AD   86
ED 52,99.00%,393,232,9,8,6,AD   86
ED 53,99.00%,269,122,8,12,3,AD   86
ED 54,99.00%,0,0,0,0,0,AD   86
ED 55,99.00%,0,0,0,0,0,AD   86
ED 1,99.00%,121,30,2,6,0,AD   87
ED 2,99.00%,363,152,9,12,3,AD   87
ED 3,99.00%,407,194,10,15,5,AD   87
ED 4,99.00%,221,83,8,6,3,AD   87
ED 5,99.00%,168,57,3,2,0,AD   87
ED 6,99.00%,487,166,12,23,6,AD   87
ED 7,99.00%,449,142,6,13,7,AD   87
ED 8,99.00%,141,50,4,5,2,AD   87
ED 9,99.00%,468,154,12,18,4,AD   87
ED 10,99.00%,303,119,12,12,4,AD   87
ED 11,99.00%,386,171,16,17,11,AD   87
ED 12,99.00%,359,112,7,33,8,AD   87
ED 13,99.00%,334,117,10,8,12,AD   87
ED 14,99.00%,492,144,6,24,29,AD   87
ED 15,99.00%,559,100,14,18,12,AD   87
ED 16,99.00%,517,125,9,17,10,AD   87
ED 17,99.00%,457,85,7,21,16,AD   87
ED 18,99.00%,610,97,11,25,15,AD   87
ED 19,99.00%,599,115,15,23,12,AD   87
ED 20,99.00%,479,93,8,25,14,AD   87
ED 21,99.00%,471,108,10,45,5,AD   87
ED 22,99.00%,505,132,15,25,9,AD   87
ED 23,99.00%,593,138,15,38,17,AD   87
ED 24,99.00%,560,160,15,24,31,AD   87
ED 25,85.71%,502,164,13,22,14,AD   87
ED 26,85.71%,466,156,14,11,20,AD   87
ED 27,85.71%,405,163,11,25,21,AD   87
ED 28,99.00%,434,204,14,19,17,AD   87
ED 29,99.00%,374,136,11,25,26,AD   87
ED 30,99.00%,413,193,19,15,26,AD   87
ED 31,99.00%,421,243,18,20,32,AD   87
ED 32,99.00%,429,227,16,19,21,AD   87
ED 33,99.00%,1,3,1,0,0,AD   87
ED 34,99.00%,134,72,6,11,10,AD   87
ED 35,99.00%,314,105,7,21,5,AD   87
ED 36,99.00%,43,33,1,1,0,AD   87
ED 37,99.00%,34,8,0,0,0,AD   87
ED 38,99.00%,363,202,9,13,14,AD   87
ED 39,99.00%,350,240,5,15,22,AD   87
ED 40,99.00%,405,152,8,6,18,AD   87
ED 41,99.00%,283,197,7,14,25,AD   87
ED 42,99.00%,506,182,19,26,22,AD   87
ED 43,99.00%,331,152,7,11,19,AD   87
ED 44,99.00%,349,159,17,14,24,AD   87
ED 45,99.00%,456,192,19,15,16,AD   87
ED 46,99.00%,488,102,10,12,1,AD   87
ED 47,99.00%,457,197,19,21,11,AD   87
ED 48,99.00%,461,186,12,26,8,AD   87
ED 49,99.00%,545,116,11,21,3,AD   87
ED 50,99.00%,337,92,10,5,1,AD   87
ED 51,99.00%,384,116,7,13,2,AD   87
ED 52,99.00%,323,60,5,18,1,AD   87
ED 53,99.00%,480,129,13,9,8,AD   87
ED 54,99.00%,574,117,5,19,1,AD   87
ED 55,99.00%,448,166,13,18,8,AD   87
ED 56,99.00%,4,3,0,1,0,AD   87
ED 57,99.00%,0,0,0,0,0,AD   87
ED 58,99.00%,0,0,0,0,0,AD   87
ED 59,99.00%,0,0,0,0,0,AD   87
